x,y,z,rx,ry,rz,时间戳(秒)
400.0,-52.427,200.0,180.0,0.0,0.0,2.9
400.0,-52.177,200.0,180.0,0.0,0.0,2.91
400.0,-51.927,200.0,180.0,0.0,0.0,2.92
400.0,-51.677,200.0,180.0,0.0,0.0,2.93
400.0,-51.426,200.0,180.0,0.0,0.0,2.94
400.0,-51.176,200.0,180.0,0.0,0.0,2.95
400.0,-50.926,200.0,180.0,0.0,0.0,2.96
400.0,-50.676,200.0,180.0,0.0,0.0,2.97
400.0,-50.425,200.0,180.0,0.0,0.0,2.98
400.0,-50.175,200.0,180.0,0.0,0.0,2.99
400.0,-49.925,200.0,180.0,0.0,0.0,3.0
400.0,-49.675,200.0,180.0,0.0,0.0,3.01
400.0,-49.424,200.0,180.0,0.0,0.0,3.02
400.0,-49.174,200.0,180.0,0.0,0.0,3.03
400.0,-48.924,200.0,180.0,0.0,0.0,3.04
400.0,-48.674,200.0,180.0,0.0,0.0,3.05
400.0,-48.423,200.0,180.0,0.0,0.0,3.06
400.0,-48.173,200.0,180.0,0.0,0.0,3.07
400.0,-47.923,200.0,180.0,0.0,0.0,3.08
400.0,-47.673,200.0,180.0,0.0,0.0,3.09
400.0,-47.422,200.0,180.0,0.0,0.0,3.1
400.0,-47.172,200.0,180.0,0.0,0.0,3.11
400.0,-46.922,200.0,180.0,0.0,0.0,3.12
400.0,-46.672,200.0,180.0,0.0,0.0,3.13
400.0,-46.421,200.0,180.0,0.0,0.0,3.14
400.0,-46.171,200.0,180.0,0.0,0.0,3.15
400.0,-45.921,200.0,180.0,0.0,0.0,3.16
400.0,-45.671,200.0,180.0,0.0,0.0,3.17
400.0,-45.42,200.0,180.0,0.0,0.0,3.18
400.0,-45.17,200.0,180.0,0.0,0.0,3.19
400.0,-44.92,200.0,180.0,0.0,0.0,3.2
400.0,-44.67,200.0,180.0,0.0,0.0,3.21
400.0,-44.419,200.0,180.0,0.0,0.0,3.22
400.0,-44.169,200.0,180.0,0.0,0.0,3.23
400.0,-43.919,200.0,180.0,0.0,0.0,3.24
400.0,-43.669,200.0,180.0,0.0,0.0,3.25
400.0,-43.418,200.0,180.0,0.0,0.0,3.26
400.0,-43.168,200.0,180.0,0.0,0.0,3.27
400.0,-42.918,200.0,180.0,0.0,0.0,3.28
400.0,-42.668,200.0,180.0,0.0,0.0,3.29
400.0,-42.417,200.0,180.0,0.0,0.0,3.3
400.0,-42.167,200.0,180.0,0.0,0.0,3.31
400.0,-41.917,200.0,180.0,0.0,0.0,3.32
400.0,-41.667,200.0,180.0,0.0,0.0,3.33
400.0,-41.416,200.0,180.0,0.0,0.0,3.34
400.0,-41.166,200.0,180.0,0.0,0.0,3.35
400.0,-40.916,200.0,180.0,0.0,0.0,3.36
400.0,-40.666,200.0,180.0,0.0,0.0,3.37
400.0,-40.415,200.0,180.0,0.0,0.0,3.38
400.0,-40.165,200.0,180.0,0.0,0.0,3.39
400.0,-39.915,200.0,180.0,0.0,0.0,3.4
400.0,-39.665,200.0,180.0,0.0,0.0,3.41
400.0,-39.414,200.0,180.0,0.0,0.0,3.42
400.0,-39.164,200.0,180.0,0.0,0.0,3.43
400.0,-38.914,200.0,180.0,0.0,0.0,3.44
400.0,-38.664,200.0,180.0,0.0,0.0,3.45
400.0,-38.413,200.0,180.0,0.0,0.0,3.46
400.0,-38.163,200.0,180.0,0.0,0.0,3.47
400.0,-37.913,200.0,180.0,0.0,0.0,3.48
400.0,-37.663,200.0,180.0,0.0,0.0,3.49
400.0,-37.412,200.0,180.0,0.0,0.0,3.5
400.0,-37.162,200.0,180.0,0.0,0.0,3.51
400.0,-36.912,200.0,180.0,0.0,0.0,3.52
400.0,-36.662,200.0,180.0,0.0,0.0,3.53
400.0,-36.411,200.0,180.0,0.0,0.0,3.54
400.0,-36.161,200.0,180.0,0.0,0.0,3.55
400.0,-35.911,200.0,180.0,0.0,0.0,3.56
400.0,-35.661,200.0,180.0,0.0,0.0,3.57
400.0,-35.41,200.0,180.0,0.0,0.0,3.58
400.0,-35.16,200.0,180.0,0.0,0.0,3.59
400.0,-34.91,200.0,180.0,0.0,0.0,3.6
400.0,-34.66,200.0,180.0,0.0,0.0,3.61
400.0,-34.409,200.0,180.0,0.0,0.0,3.62
400.0,-34.159,200.0,180.0,0.0,0.0,3.63
400.0,-33.909,200.0,180.0,0.0,0.0,3.64
400.0,-33.659,200.0,180.0,0.0,0.0,3.65
400.0,-33.408,200.0,180.0,0.0,0.0,3.66
400.0,-33.158,200.0,180.0,0.0,0.0,3.67
400.0,-32.908,200.0,180.0,0.0,0.0,3.68
400.0,-32.658,200.0,180.0,0.0,0.0,3.69
400.0,-32.407,200.0,180.0,0.0,0.0,3.7
400.0,-32.157,200.0,180.0,0.0,0.0,3.71
400.0,-31.907,200.0,180.0,0.0,0.0,3.72
400.0,-31.657,200.0,180.0,0.0,0.0,3.73
400.0,-31.406,200.0,180.0,0.0,0.0,3.74
400.0,-31.156,200.0,180.0,0.0,0.0,3.75
400.0,-30.906,200.0,180.0,0.0,0.0,3.76
400.0,-30.656,200.0,180.0,0.0,0.0,3.77
400.0,-30.405,200.0,180.0,0.0,0.0,3.78
400.0,-30.155,200.0,180.0,0.0,0.0,3.79
400.0,-29.905,200.0,180.0,0.0,0.0,3.8
400.0,-29.655,200.0,180.0,0.0,0.0,3.81
400.0,-29.404,200.0,180.0,0.0,0.0,3.82
400.0,-29.154,200.0,180.0,0.0,0.0,3.83
400.0,-28.904,200.0,180.0,0.0,0.0,3.84
400.0,-28.654,200.0,180.0,0.0,0.0,3.85
400.0,-28.403,200.0,180.0,0.0,0.0,3.86
400.0,-28.153,200.0,180.0,0.0,0.0,3.87
400.0,-27.903,200.0,180.0,0.0,0.0,3.88
400.0,-27.653,200.0,180.0,0.0,0.0,3.89
400.0,-27.402,200.0,180.0,0.0,0.0,3.9
400.0,-27.152,200.0,180.0,0.0,0.0,3.91
400.0,-26.902,200.0,180.0,0.0,0.0,3.92
400.0,-26.652,200.0,180.0,0.0,0.0,3.93
400.0,-26.401,200.0,180.0,0.0,0.0,3.94
400.0,-26.151,200.0,180.0,0.0,0.0,3.95
400.0,-25.901,200.0,180.0,0.0,0.0,3.96
400.0,-25.651,200.0,180.0,0.0,0.0,3.97
400.0,-25.4,200.0,180.0,0.0,0.0,3.98
400.0,-25.15,200.0,180.0,0.0,0.0,3.99
400.0,-24.9,200.0,180.0,0.0,0.0,4.0
400.0,-24.65,200.0,180.0,0.0,0.0,4.01
400.0,-24.399,200.0,180.0,0.0,0.0,4.02
400.0,-24.149,200.0,180.0,0.0,0.0,4.03
400.0,-23.899,200.0,180.0,0.0,0.0,4.04
400.0,-23.649,200.0,180.0,0.0,0.0,4.05
400.0,-23.398,200.0,180.0,0.0,0.0,4.06
400.0,-23.148,200.0,180.0,0.0,0.0,4.07
400.0,-22.898,200.0,180.0,0.0,0.0,4.08
400.0,-22.648,200.0,180.0,0.0,0.0,4.09
400.0,-22.397,200.0,180.0,0.0,0.0,4.1
400.0,-22.147,200.0,180.0,0.0,0.0,4.11
400.0,-21.897,200.0,180.0,0.0,0.0,4.12
400.0,-21.647,200.0,180.0,0.0,0.0,4.13
400.0,-21.396,200.0,180.0,0.0,0.0,4.14
400.0,-21.146,200.0,180.0,0.0,0.0,4.15
400.0,-20.896,200.0,180.0,0.0,0.0,4.16
400.0,-20.646,200.0,180.0,0.0,0.0,4.17
400.0,-20.395,200.0,180.0,0.0,0.0,4.18
400.0,-20.145,200.0,180.0,0.0,0.0,4.19
400.0,-19.895,200.0,180.0,0.0,0.0,4.2
400.0,-19.645,200.0,180.0,0.0,0.0,4.21
400.0,-19.394,200.0,180.0,0.0,0.0,4.22
400.0,-19.144,200.0,180.0,0.0,0.0,4.23
400.0,-18.894,200.0,180.0,0.0,0.0,4.24
400.0,-18.644,200.0,180.0,0.0,0.0,4.25
400.0,-18.393,200.0,180.0,0.0,0.0,4.26
400.0,-18.143,200.0,180.0,0.0,0.0,4.27
400.0,-17.893,200.0,180.0,0.0,0.0,4.28
400.0,-17.643,200.0,180.0,0.0,0.0,4.29
400.0,-17.392,200.0,180.0,0.0,0.0,4.3
400.0,-17.142,200.0,180.0,0.0,0.0,4.31
400.0,-16.892,200.0,180.0,0.0,0.0,4.32
400.0,-16.642,200.0,180.0,0.0,0.0,4.33
400.0,-16.391,200.0,180.0,0.0,0.0,4.34
400.0,-16.141,200.0,180.0,0.0,0.0,4.35
400.0,-15.891,200.0,180.0,0.0,0.0,4.36
400.0,-15.641,200.0,180.0,0.0,0.0,4.37
400.0,-15.39,200.0,180.0,0.0,0.0,4.38
400.0,-15.14,200.0,180.0,0.0,0.0,4.39
400.0,-14.89,200.0,180.0,0.0,0.0,4.4
400.0,-14.64,200.0,180.0,0.0,0.0,4.41
400.0,-14.389,200.0,180.0,0.0,0.0,4.42
400.0,-14.139,200.0,180.0,0.0,0.0,4.43
400.0,-13.889,200.0,180.0,0.0,0.0,4.44
400.0,-13.639,200.0,180.0,0.0,0.0,4.45
